,alhadikhia,mastermind,,"If the Al-Hadikhia dies by execution, and the Mastermind is alive, the Al-Hadikhia chooses 3 good players tonight: if all 3 choose to live, evil wins. Otherwise, good wins.","Jade is the Al-Hadihkia, and is executed. Mia Gwen is the Mastermind, so that night the ST wakes Jade up to choose three players and announces Jade's choices. "
,alhadikhia,scarletwoman,,"If there are two living Al-Hadikhias, the Scarlet Woman Al-Hadikhia becomes the Scarlet Woman again.","Jade is the Al-hadikhia. Jade is executed with six players alive, and Mia Gwen the Scarlet Woman becomes the Al-Hadikhia. That night, Mia Gwen picks Jade and two other players. Jade comes back to life, and Mia Gwen reverts to being the Scarlet Woman."
,alhadikhia,barber,,"If a barber dies due to an Al-Haldikhia choice, ",
,alhadikhia,damsel,,"If a Damsel comes back to life, minions are not informed there is a Damsel in play if they have already been told earlier in the game",
,alhadikhia,goon,,"If the Al-Had chooses the goon, and they are the first player to do so, the goon turns evil and no announcements are made, regardless of when in order the Al-Had picked the goon",
,alhadikhia,banshee,,"As soon as the Banshee dies, their death is announced","Jade the Al-Had chooses Mia Gwen the Banshee, Rachel the Fortune Teller, and Noor the Dreamer. Mia Gwen chooses to die and the ST immedietly announces a banshee has died before prompting Rachel or Noor for their choices"
,alhadikhia,choirboy,,The Choirboy is woken as soon as the king dies to the Al-Had ability,"Jade the Al-Had chooses Mia Gwen the King, Rachel the choirboy, and Noor the Dreamer. Mia Gwen chooses to die, so Rachel is immedietly told Jade is the demon"
,alhadikhia,exorcist,,"If the Exorcist chooses the Al-Had, the Al-Had is woken to be told who the Exorcist is, but does not get to choose any players tonight and no announcement goes out",
,alhadikhia,exorcist,chambermaid,"If the Exorcist chooses the Al-Had, the Al-Had is woken to be told who the Exorcist is, but does not get to choose any players tonight and no announcement goes out. The Al-Had does not count as waking to the chambermaid that night.",
,alhadikhia,farmer,,A new player becomes the Farmer as soon as they die to the Al-Had ability,
,fanggu,alsaahir,,"If the Fang Gu has moved to an outsider, the Alsaahir must guess both the alive and dead Fang Gu to win",
,fanggu,barber,,"If the Fang Gu has moved to an outsider, and a barber dies, the alive Fang Gu chooses who swaps characters. They cannot swap the dead Fang Gu with another player.",
